ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
4263;São Paulo;-48.1490;-25.3005;3781;5185;5004;4170;3541;2879;2462;2450;3127;3167;3552;4639;5193
4264;São Paulo;-48.0490;-25.3005;3990;5443;5295;4425;3754;2989;2534;2535;3237;3402;3833;4942;5487
4328;São Paulo;-48.1490;-25.2005;3685;4908;4830;4091;3454;2867;2486;2457;3136;3118;3484;4434;4962
4329;São Paulo;-48.0490;-25.2005;3886;5298;5144;4309;3648;2943;2545;2518;3252;3270;3684;4740;5275
4330;São Paulo;-47.9490;-25.2005;3987;5430;5286;4444;3759;2990;2544;2544;3216;3379;3832;4946;5482
4390;São Paulo;-48.5490;-25.1005;3874;5008;4924;4178;3549;2957;2612;2679;3479;3439;3823;4644;5188
4391;São Paulo;-48.4490;-25.1005;3769;4873;4818;4047;3476;2900;2575;2628;3370;3296;3666;4525;5056
4392;São Paulo;-48.3490;-25.1005;3786;4911;4925;4102;3531;2929;2614;2601;3348;3280;3649;4491;5046
4393;São Paulo;-48.2490;-25.1005;3772;4982;4914;4131;3555;2918;2581;2573;3313;3209;3604;4446;5045
4394;São Paulo;-48.1490;-25.1005;3794;5073;4959;4168;3598;2943;2566;2564;3279;3221;3585;4492;5076
4395;São Paulo;-48.0490;-25.1005;3912;5202;5168;4323;3721;3002;2576;2603;3300;3301;3701;4751;5303
4396;São Paulo;-47.9490;-25.1005;3976;5319;5255;4391;3778;3007;2584;2609;3281;3411;3809;4851;5419
4397;São Paulo;-47.8490;-25.1005;4167;5564;5540;4678;3938;3062;2632;2649;3297;3635;4095;5165;5745
4456;São Paulo;-48.6490;-25.0005;3984;5141;5067;4316;3655;3022;2679;2740;3610;3556;3957;4800;5270
4457;São Paulo;-48.5490;-25.0005;4015;5173;5136;4356;3685;3028;2645;2724;3588;3590;4023;4846;5387
4458;São Paulo;-48.4490;-25.0005;3963;5102;5052;4265;3633;2989;2633;2707;3534;3542;3984;4770;5347
4459;São Paulo;-48.3490;-25.0005;3902;5033;4983;4199;3613;2984;2653;2681;3501;3462;3860;4655;5206
4460;São Paulo;-48.2490;-25.0005;3819;4960;4904;4128;3559;2944;2609;2631;3411;3344;3738;4507;5097
4461;São Paulo;-48.1490;-25.0005;3737;4894;4863;4071;3541;2908;2554;2560;3300;3209;3584;4390;4979
